,player_name,primary_position,player_season_minutes,NP xG,NP Goals,NP Shots,OP xA,OP Key Passes,OBV Dribble & Carry,player_season_aerial_wins_90 Percentile,player_season_aerial_ratio Percentile,PAdj Pressures,player_season_pressure_regains_90 Percentile,player_season_carries_90 Percentile,player_season_touches_inside_box_90 Percentile,player_season_obv_shot_90 Percentile,Succesful Dribbles,Top 5 PSV-99,Average Distance
379,Ilias Chair,Left Wing,3512.6165,51,29,88,80,93,85,17,12,37,51,93,24,17,71,59,39
385,Josh Koroma,Left Wing,1304.4167,7,78,66,10,27,56,78,66,2,34,22,17,54,66,32,15
390,Joshua Sargent,Right Wing,3413.2332,98,93,80,29,29,5,98,80,68,49,15,100,56,24,39,46
394,Tyler Burey,Left Wing,1047.8167,61,17,63,37,63,71,56,37,10,10,24,51,41,73,90,27
407,Kieran O'Neill Dowell,Right Wing,1208.3668,83,95,32,98,95,44,66,73,93,88,73,56,98,46,2,88
419,Manuel Benson Hedilazio,Right Wing,1627.9668,68,100,100,100,98,100,22,22,46,5,100,83,7,76,49,20
445,Oluwaseyi Babajide Ojo,Right Wing,2079.9333,56,10,51,5,10,32,68,78,49,41,39,15,15,56,46,76
465,Josh Bowler,Right Wing,1893.5669,80,63,93,32,12,90,20,44,5,12,41,32,90,85,12,10
480,Riley McGree,Left Wing,3440.1,71,49,73,71,68,73,32,76,66,39,85,88,49,22,71,85
493,Amad Diallo Traoré,Right Wing,3018.0999,73,90,76,49,66,83,29,34,80,78,95,73,85,88,73,34
530,Chris Anthony Willock,Left Wing,1779.7504,34,83,85,76,85,80,15,2,15,17,90,68,20,93,10,22
541,Allahyar Sayyadmanesh,Left Wing,1380.9,12,32,10,17,49,63,95,98,73,93,29,12,32,17,80,73
543,Nathan Tella,Right Wing,2650.8506,100,98,78,61,54,66,37,15,95,68,66,93,100,68,93,56
555,Ian Carlo Poveda-Ocampo,Right Wing,1136.85,66,51,29,12,24,68,5,5,39,80,71,54,68,98,56,49
577,Shayne Lavery,Right Midfielder,1378.45,59,34,7,7,5,17,59,17,24,95,5,41,61,51,44,32
585,Thelo Aasgaard,Left Wing,1816.4335,44,46,68,2,2,22,90,100,32,24,46,5,83,59,5,59
625,Oliver Cooper,Left Wing,2528.9666,54,59,24,22,32,29,10,26,100,98,56,49,44,27,15,93
636,Samuel John Bell,Left Wing,1248.6334,46,71,5,41,7,10,80,20,90,61,2,39,78,44,66,95
665,Jaden Philogene-Bidace,Left Wing,2456.2832,63,41,83,20,17,88,24,32,56,63,54,22,24,90,24,51
686,Anass Zaroury,Left Wing,2524.7505,20,68,59,85,78,78,12,39,85,66,78,29,63,80,22,66
